"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12959","Добавление tg bot","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","18353","Добавление тега","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","1186","02 - Получить всех пользователей api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","19302","Удаление канала","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","1433","01 - Создать пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","1526","04 - создание пользователей с одинаковым phone","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","17425","Добавление шаблона сообщения","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","2958","03 - Получить пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","2004","06 - удаление пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","8795","Авторизация с валидными данными","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","3643","05 - удаление пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
