"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1014","02 - Получить всех пользователей api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","12195","Добавление tg bot","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","20050","Добавление шаблона сообщения","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","20913","Добавление тега","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","2250","03 - Получить пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","2705","04 - создание пользователей с одинаковым phone","chromium","2026-05-23","failed","2026-05-23","","api.spec.js","",""
"","2948","06 - удаление всех пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","3345","05 - удаление пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","1683","01 - Создать пользователя api","chromium","2026-05-23","passed","2026-05-23","","api.spec.js","",""
"","17757","Удаление канала","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
"","11040","Авторизация с валидными данными","chromium","2026-05-23","passed","2026-05-23","","ui.spec.js","",""
